id,location,state,file,fileSource,latitude,longitude,Tout,ToutDailyVar,ToutAnnualVar,CDD18,CDD25,radDirNorm,radDiffHoriz,windSpeedMet,elevation,CDD18study
156,Ouro Branco,MG,BRA_MG_Ouro.Branco.868230_INMET.epw,INMET,-20.52,-43.69,19.67384703,9.16109589,12.37916667,903.7541667,66.79583333,63.52009132,96.45684932,1.6231621,1061,791.575
157,Passa Quatro,MG,BRA_MG_Passa.Quatro.837370_INMET.epw,INMET,-22.39,-44.97,18.2877968,10.47287671,11.80833333,710.075,58.89166667,87.92477169,87.24611872,1.976107306,1040,591.3125
158,Passos,MG,BRA_MG_Passos.868190_INMET.epw,INMET,-20.75,-46.63,20.67110731,11.91506849,13.35416667,1285.141667,192.8791667,87.52431507,91.51678082,1.821883562,875,1135.666667
159,Patrocínio,MG,BRA_MG_Patrocinio.867780_INMET.epw,INMET,-18.94,-46.99,20.32144977,11.62054795,13.22083333,1167.575,155.9625,85.50684932,94.18127854,1.704121005,976,1045.820833
160,Pirapora,MG,BRA_MG_Pirapora.AP.867590_INMET.epw,INMET,-17.34,-44.94,23.72343607,11.38794521,10.8625,2161.7375,467.7708333,110.8663242,90.70776256,1.380296804,489,1892.895833
161,Rio Pardo de Minas,MG,BRA_MG_Rio.Pardo.de.Minas.867210_INMET.epw,INMET,-15.72,-42.44,21.57821918,10.61013699,9.475,1439.025,230.9083333,88.26906393,95.61472603,2.411164384,853,1270.645833
162,Sacramento,MG,BRA_MG_Sacramento.867950_INMET.epw,INMET,-19.86,-47.44,21.79762557,10.8169863,14.52083333,1556.241667,244.7875,97.1510274,90.64052511,2.345251142,912,1379.575
163,Salinas,MG,BRA_MG_Salinas.867410_INMET.epw,INMET,-16.17,-42.29,23.27094749,12.08767123,10.8875,2034.108333,465.9458333,97.19863014,92.99703196,1.085570776,495,1790
164,São João del Rei,MG,BRA_MG_Sao.Joao.del.Rei.836880_INMET.epw,INMET,-21.14,-44.26,19.35915525,10.63616438,13.4875,961.5041667,87.60833333,74.09326484,93.34691781,2.478789954,991,834.4291667
165,São Romão,MG,BRA_MG_Sao.Romao.867390_INMET.epw,INMET,-16.37,-45.07,24.02018265,12.21780822,12.03333333,2318.3,569.0958333,111.0641553,92.14988584,1.354691781,460,2054.333333
166,Serra dos Aimorés,MG,BRA_MG_Serra.dos.Aimores.867630_INMET.epw,INMET,-17.78,-40.25,23.25797945,9.130684932,12.5125,1951.3875,343.3625,76.32157534,98.93025114,2.652374429,208,1643.854167
167,Teófilo Otoni,MG,BRA_MG_Teofilo.Otoni.867620_INMET.epw,INMET,-17.86,-41.51,22.38800228,8.29890411,13.17083333,1672.5125,226.075,74.37534247,95.12043379,1.63663242,475,1405.320833
168,Timóteo,MG,BRA_MG_Timoteo.868010_INMET.epw,INMET,-19.58,-42.64,22.83237443,8.043561644,10.03333333,1782.9875,216.9458333,63.78173516,93.5347032,1.134429224,333,1576.433333
169,Três Marias,MG,BRA_MG_Tres.Marias.867790_INMET.epw,INMET,-18.21,-45.24,21.96792237,8.483835616,13.40833333,1510.9375,147.2541667,94.89486301,94.28789954,2.679303653,921,1326.908333
170,Uberlândia,MG,BRA_MG_Uberlandia.867760_INMET.epw,INMET,-18.92,-48.28,22.9453653,9.904383562,14.40416667,1879.158333,307.1666667,112.2743151,107.1793379,2.033047945,869,1677.529167
171,Unaí,MG,BRA_MG_Unai.AP.834280_INMET.epw,INMET,-16.36,-46.91,23.4338242,11.38958904,11.675,2054.695833,418.8041667,102.1118721,94.21894977,1.688276256,631,1810.191667
172,Varginha,MG,BRA_MG_Varginha.868480_INMET.epw,INMET,-21.55,-45.43,19.55253425,10.54657534,11.72916667,945.4666667,89.575,76.29520548,93.4533105,1.843527397,955,831.8291667
